"Step","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MAX"
"4352","-151.55608622233072","-158.9859161376953","-138.90928649902344","-151.55608622233072","-158.9859161376953","-138.90928649902344","-187.20187123616537","-262.02911376953125","-96.45720672607422","-187.20187123616537","-262.02911376953125","-96.45720672607422","-187.20187123616537","-262.02911376953125","-96.45720672607422"
"4480","-320.65675354003906","-530.087158203125","-194.2402801513672","-320.65675354003906","-530.087158203125","-194.2402801513672","-224.5891876220703","-249.67501831054688","-194.24075317382812","-224.5891876220703","-249.67501831054688","-194.24075317382812","-224.5891876220703","-249.67501831054688","-194.24075317382812"
"4608","-335.9928258260091","-527.948974609375","-84.1102523803711","-335.9928258260091","-527.948974609375","-84.1102523803711","-275.5857798258464","-395.91912841796875","-109.19535827636719","-275.5857798258464","-395.91912841796875","-109.19535827636719","-275.5857798258464","-395.91912841796875","-109.19535827636719"
"4736","-249.6314493815104","-336.5916748046875","-111.3311767578125","-249.6314493815104","-336.5916748046875","-111.3311767578125","-281.522705078125","-400.8035583496094","-142.79318237304688","-281.522705078125","-400.8035583496094","-142.79318237304688","-281.522705078125","-400.8035583496094","-142.79318237304688"
"4864","-186.1157989501953","-265.96600341796875","-141.87796020507812","-186.1157989501953","-265.96600341796875","-141.87796020507812","-181.8788299560547","-326.7113952636719","-77.04698181152344","-181.8788299560547","-326.7113952636719","-77.04698181152344","-181.8788299560547","-326.7113952636719","-77.04698181152344"
"4992","-171.36707051595053","-254.96946716308594","-88.66973876953125","-171.36707051595053","-254.96946716308594","-88.66973876953125","-163.1234588623047","-171.5919189453125","-147.3168182373047","-163.1234588623047","-171.5919189453125","-147.3168182373047","-163.1234588623047","-171.5919189453125","-147.3168182373047"
"5120","-281.2322591145833","-368.0039367675781","-213.28652954101562","-281.2322591145833","-368.0039367675781","-213.28652954101562","-239.90875752766928","-368.0040283203125","-109.17424011230469","-239.90875752766928","-368.0040283203125","-109.17424011230469","-239.90875752766928","-368.0040283203125","-109.17424011230469"
"5248","-251.59654235839844","-334.25018310546875","-205.91891479492188","-251.59654235839844","-334.25018310546875","-205.91891479492188","-320.24379475911456","-478.3933410644531","-205.91854858398438","-320.24379475911456","-478.3933410644531","-205.91854858398438","-320.24379475911456","-478.3933410644531","-205.91854858398438"
"5376","-422.0113932291667","-585.7881469726562","-294.77642822265625","-422.0113932291667","-585.7881469726562","-294.77642822265625","-336.89003499348956","-585.7879638671875","-91.85137939453125","-336.89003499348956","-585.7879638671875","-91.85137939453125","-336.89003499348956","-585.7879638671875","-91.85137939453125"
"5504","-332.39358139038086","-691.0820922851562","-19.575763702392578","-332.39358139038086","-691.0820922851562","-19.575763702392578","-385.8282114664714","-691.0819702148438","-223.4384002685547","-385.8282114664714","-691.0819702148438","-223.4384002685547","-385.8282114664714","-691.0819702148438","-223.4384002685547"
"5632","-173.29095967610678","-328.0133056640625","-94.20159149169922","-173.29095967610678","-328.0133056640625","-94.20159149169922","-146.45487467447916","-205.6624755859375","-97.657958984375","-146.45487467447916","-205.6624755859375","-97.657958984375","-146.45487467447916","-205.6624755859375","-97.657958984375"
"5760","-250.3747762044271","-289.10833740234375","-222.613037109375","-250.3747762044271","-289.10833740234375","-222.613037109375","-232.8749542236328","-289.10601806640625","-194.3213653564453","-232.8749542236328","-289.10601806640625","-194.3213653564453","-232.8749542236328","-289.10601806640625","-194.3213653564453"
"5888","-176.98628743489584","-222.12442016601562","-117.19412231445312","-176.98628743489584","-222.12442016601562","-117.19412231445312","-140.39041646321616","-158.9842529296875","-117.19406127929688","-140.39041646321616","-158.9842529296875","-117.19406127929688","-140.39041646321616","-158.9842529296875","-117.19406127929688"
"6016","-260.29639689127606","-335.1455078125","-215.3365478515625","-260.29639689127606","-335.1455078125","-215.3365478515625","-140.90296936035156","-189.7974090576172","-75.92922973632812","-140.90296936035156","-189.7974090576172","-75.92922973632812","-140.90296936035156","-189.7974090576172","-75.92922973632812"
"6144","-252.63797505696616","-325.63299560546875","-113.85685729980469","-252.63797505696616","-325.63299560546875","-113.85685729980469","-303.728759765625","-513.8828125","-193.7740478515625","-303.728759765625","-513.8828125","-193.7740478515625","-303.728759765625","-513.8828125","-193.7740478515625"
"6272","-255.2660140991211","-360.539306640625","-60.76831817626953","-255.2660140991211","-360.539306640625","-60.76831817626953","-221.74021657307944","-360.5391845703125","-100.38782501220703","-221.74021657307944","-360.5391845703125","-100.38782501220703","-221.74021657307944","-360.5391845703125","-100.38782501220703"
"6400","-179.97954559326172","-277.4322509765625","-90.15467071533203","-179.97954559326172","-277.4322509765625","-90.15467071533203","-280.76402537027997","-457.23980712890625","-107.6224594116211","-280.76402537027997","-457.23980712890625","-107.6224594116211","-280.76402537027997","-457.23980712890625","-107.6224594116211"
"6528","-162.51451873779297","-240.57484436035156","-79.82975006103516","-162.51451873779297","-240.57484436035156","-79.82975006103516","-178.71945190429688","-240.57455444335938","-124.01290893554688","-178.71945190429688","-240.57455444335938","-124.01290893554688","-178.71945190429688","-240.57455444335938","-124.01290893554688"
"6656","-329.93243408203125","-448.7095947265625","-247.26947021484375","-329.93243408203125","-448.7095947265625","-247.26947021484375","-321.8013458251953","-448.70831298828125","-126.55928039550781","-321.8013458251953","-448.70831298828125","-126.55928039550781","-321.8013458251953","-448.70831298828125","-126.55928039550781"
"6784","-223.45654678344727","-379.60101318359375","-63.9353141784668","-223.45654678344727","-379.60101318359375","-63.9353141784668","-267.6539357503255","-522.1356811523438","-89.05453491210938","-267.6539357503255","-522.1356811523438","-89.05453491210938","-267.6539357503255","-522.1356811523438","-89.05453491210938"
"6912","-161.33385467529297","-315.1949462890625","-68.8724365234375","-161.33385467529297","-315.1949462890625","-68.8724365234375","-218.6554183959961","-339.9034729003906","-80.41117095947266","-218.6554183959961","-339.9034729003906","-80.41117095947266","-218.6554183959961","-339.9034729003906","-80.41117095947266"
"7040","-128.61399841308594","-163.77178955078125","-95.94315338134766","-128.61399841308594","-163.77178955078125","-95.94315338134766","-224.3361562093099","-404.4264221191406","-95.94331359863281","-224.3361562093099","-404.4264221191406","-95.94331359863281","-224.3361562093099","-404.4264221191406","-95.94331359863281"
"7168","-196.68474578857422","-314.7660217285156","-127.87284088134766","-196.68474578857422","-314.7660217285156","-127.87284088134766","-262.6054331461589","-467.1441345214844","-127.87307739257812","-262.6054331461589","-467.1441345214844","-127.87307739257812","-262.6054331461589","-467.1441345214844","-127.87307739257812"
"7296","-275.6060485839844","-494.0296630859375","-162.06265258789062","-275.6060485839844","-494.0296630859375","-162.06265258789062","-352.954106648763","-579.146484375","-170.72581481933594","-352.954106648763","-579.146484375","-170.72581481933594","-352.954106648763","-579.146484375","-170.72581481933594"
"7424","-216.11886596679688","-461.99200439453125","-76.82218933105469","-216.11886596679688","-461.99200439453125","-76.82218933105469","-336.2338511149089","-461.99176025390625","-127.19712829589844","-336.2338511149089","-461.99176025390625","-127.19712829589844","-336.2338511149089","-461.99176025390625","-127.19712829589844"
"7552","-252.09575398763022","-462.2874450683594","-84.54727172851562","-252.09575398763022","-462.2874450683594","-84.54727172851562","-336.63487752278644","-512.38671875","-84.54727172851562","-336.63487752278644","-512.38671875","-84.54727172851562","-336.63487752278644","-512.38671875","-84.54727172851562"
"7680","-241.95211791992188","-362.5132751464844","-159.07859802246094","-241.95211791992188","-362.5132751464844","-159.07859802246094","-231.58072408040366","-353.30487060546875","-137.1720428466797","-231.58072408040366","-353.30487060546875","-137.1720428466797","-231.58072408040366","-353.30487060546875","-137.1720428466797"
"7808","-244.17462666829428","-412.5343017578125","-138.04856872558594","-244.17462666829428","-412.5343017578125","-138.04856872558594","-199.08617146809897","-235.84725952148438","-179.47010803222656","-199.08617146809897","-235.84725952148438","-179.47010803222656","-199.08617146809897","-235.84725952148438","-179.47010803222656"
"7936","-220.47684224446616","-360.6072998046875","-142.39004516601562","-220.47684224446616","-360.6072998046875","-142.39004516601562","-142.27698262532553","-181.4208221435547","-103.01997375488281","-142.27698262532553","-181.4208221435547","-103.01997375488281","-142.27698262532553","-181.4208221435547","-103.01997375488281"
"8064","-292.82147216796875","-383.29345703125","-195.82257080078125","-292.82147216796875","-383.29345703125","-195.82257080078125","-282.73768107096356","-383.292724609375","-205.62844848632812","-282.73768107096356","-383.292724609375","-205.62844848632812","-282.73768107096356","-383.292724609375","-205.62844848632812"
"8192","-350.91253662109375","-439.575927734375","-262.2491455078125","-350.91253662109375","-439.575927734375","-262.2491455078125","-202.83583068847656","-262.2461242675781","-160.2414093017578","-202.83583068847656","-262.2461242675781","-160.2414093017578","-202.83583068847656","-262.2461242675781","-160.2414093017578"
